word,total letters,total occurrences
lover,3219,3577
heartbreak,3324,3574
window,3144,3560
ugh,3352,3557
pathet,3278,3550
focus,3205,3545
alright,3281,3538
glass,3084,3537
gentl,3259,3535
bitch,3161,3534
ass,3223,3522
brought,3301,3521
luck,3363,3515
challeng,3323,3514
visit,3156,3508
magic,3148,3502
manag,3265,3486
ill,2938,3486
pay,3184,3484
chase,3003,3479
disappoint,3212,3474
twice,3294,3470
goodnight,3148,3456
search,3122,3455
hall,3122,3439
state,3190,3428
jerk,2872,3425
prove,3175,3422
practic,3146,3419
food,3028,3406
fire,2964,3406
carri,3116,3400
proud,3047,3393
joy,3135,3391
blame,2977,3391
build,3071,3383
frustrat,3134,3381
fade,3144,3371
tall,3035,3369
friday,3060,3360
trip,3030,3357
extrem,3101,3350
effort,3095,3349
obsess,3074,3347
power,3050,3342
embarrass,3130,3331
six,2938,3325
crap,3102,3323
respons,3035,3300
corner,3116,3298
agre,3071,3290
cheat,2763,3288
thousand,2959,3278
social,2990,3268
period,2895,3268
shine,3020,3268
flower,2691,3257
ugli,2887,3248
posit,3026,3241
slight,3048,3238
senior,2850,3226
perhap,2693,3224
citi,2860,3223
dinner,2912,3217
present,2881,3217
countri,2931,3205
tabl,2743,3205
dumb,2860,3205
handsom,3026,3204
compar,2989,3198
neither,3066,3189
upon,2935,3183
paper,2686,3172
insecur,2904,3163
protect,2852,3162
seat,2645,3157
stood,2848,3157
happier,3029,3152
decis,2827,3151
support,2817,3150
recent,3030,3149
park,2754,3147
within,2913,3141
refus,2879,3138
offer,2844,3136
belong,2752,3132
weak,2860,3129
win,2758,3129
grin,2851,3117
shut,2878,3117
complic,2837,3109
men,2541,3108
admir,2872,3104
difficult,2920,3092
dare,2578,3091
video,2703,3088
peac,2835,3087
earli,2907,3079
fli,2768,3077
calm,2845,3071
darl,2756,3069
creat,2824,3067
street,2708,3061
dead,2828,3055
stress,2758,3050
leg,2689,3042
desir,2721,3039
opposit,2846,3033
appar,2910,3031
cover,2806,3022
flaw,2612,3021
neck,2767,3020
troubl,2828,3016
skip,2822,3007
hung,2751,3005
dog,2485,3005
gut,2859,3001
math,2496,2973
buy,2695,2968
asshol,2671,2950
beyond,2756,2950
ground,2727,2936
gosh,2741,2934
floor,2671,2928
bye,2596,2924
form,2746,2915
began,2514,2914
silent,2706,2910
princ,2464,2906
status,2580,2902
ice,2560,2891
invit,2562,2883
fate,2509,2872
appear,2722,2870
compliment,2594,2852
risk,2560,2851
slip,2670,2849
nose,2591,2838
bestfriend,2297,2838
common,2656,2836
rush,2652,2834
moon,2430,2825
stick,2678,2825
faith,2518,2809
tini,2620,2804
chose,2473,2794
death,2546,2785
cat,2289,2777
heal,2429,2765
ring,2292,2764
brush,2614,2762
hasn,2650,2762
amount,2584,2752
chocol,2410,2752
roll,2567,2749
unless,2630,2746
forgotten,2519,2740
ten,2502,2731
mix,2600,2726
sight,2498,2673
deni,2426,2670
initi,2439,2670
beg,2412,2664
spoke,2460,2656
draw,2260,2647
issu,2357,2645
babe,2368,2643
mutual,2478,2643
fake,2372,2640
omg,1933,2637
bear,2419,2618
cloth,2399,2612
action,2391,2608
most,2495,2607
tree,2156,2601
offici,2481,2600
hint,2389,2597
road,2319,2594
current,2455,2588
romanc,2322,2587
bet,2217,2586
popular,2196,2581
guitar,2279,2581
hook,2261,2580
presenc,2474,2575
couch,2314,2564
rose,2148,2553
giggl,2391,2552
blond,2312,2544
ball,2287,2544
delet,2092,2544
rock,2293,2537
path,2300,2536
pop,2437,2529
blind,2326,2528
odd,2361,2519
anywher,2395,2517
match,2316,2509
stronger,2330,2507
everywher,2346,2506
younger,2297,2503
scari,2301,2501
homework,2280,2494
deepli,2367,2492
disappear,2335,2489
yell,2241,2487
saturday,2255,2483
test,2146,2477
art,2109,2476
remain,2313,2467
doesnt,2179,2467
everybodi,2231,2462
skype,2095,2450
smoke,2052,2441
pure,2298,2438
awak,2276,2437
gift,2068,2430
histori,2181,2427
race,2244,2426
settl,2173,2419
english,2177,2419
distract,2231,2414
patient,2220,2411
instant,2287,2409
teach,2120,2407
struggl,2182,2406
angel,2071,2401
relat,2271,2401
knee,2285,2401
judg,2167,2397
ladi,2174,2392
charact,2044,2390
taught,1895,2390
spark,2168,2389
lock,2217,2383
brave,2189,2382
freshman,2089,2381
pour,2227,2377
idk,2055,2376
wind,2128,2363
shot,2198,2343
curl,2237,2338
georgina,2304,2335
teenag,2116,2330
ocean,2062,2328
innoc,2142,2325
gay,1917,2325
paint,1862,2319
purpos,2196,2319
scar,1956,2316
repeat,2212,2315
sexi,2120,2304
rare,2190,2300
monday,2041,2299
anybodi,2116,2291
